Case #1:
1632
1659
262
1632
956
566
347
1399
51
956
1056
992
48
1301
1255
347
9
688
555
15
103
806
631
174
141
702
347
347
1400
322
956
665
512
1417
115
220
168
1061
1683
376
228
1788
347
4
956
1398
626
347
549
1976
8
347
482
117
743
225
3
345
347
1115
1
595
1801
18
965
1898
15
1601
168
1621
757
1165
956
384
347
1128
51
211
1455
597
505
1399
1399
1556
86
956
315
2
284
1663
117
647
1823
231
597
52
220
1721
1177
958
29
1400
5
1278
1259
22
744
1936
1399
1801
347
347
347
1889
538
18
956
622
347
1780
347
347
1107
1172
1615
1929
956
109
956
251
622
347
647
773
396
134
338
39
85
347
322
1142
333
159
122
22
500
219
347
166
347
479
347
347
1316
577
49
806
1638
347
518
627
1219
19
1362
908
347
956
686
980
540
551
347
873
861
82
347
32
347
1536
116
518
167
597
1722
892
1032
347
956
347
784
166
1291
597
18
898
308
347
1273
18
8
867
134
1632
8
809
1722
1217
1245
90
56
1511
132
73
163
315
251
1634
1477
347
347
478
56
175
1744
25
1591
180
392
956
665
956
830
132
873
347
1031
1033
956
233
347
347
196
82
17
1109
127
294
1915
956
251
956
545
48
518
149
347
956
1170
150
1407
347
173
347
347
180
208
11
1439
324
1213
956
519
405
6
1764
831
630
347
1768
347
428
347
1387
238
150
127
956
211
1299
555
593
347
71
151
370
818
105
347
1546
109
639
347
18
175
1918
956
347
59
520
396
1410
867
181
896
347
347
347
956
1139
18
814
956
945
8
1271
347
82
29
1438
425
23
266
199
181
1400
127
74
183
6
956
8
256
1667
347
956
43
1401
753
347
103
18
1399
1083
370
1654
241
1417
347
347
347
567
17
9
1890
1179
1954
347
560
1442
719
2
22
180
376
1789
291
1635
365
251
956
347
1518
225
1001
1177
174
478
396
184
1354
136
347
512
318
322
1399
347
308
175
455
68
482
1703
1400
1721
622
42
1399
506
1365
1399
82
347
345
1063
410
833
347
618
104
168
87
11
478
956
6
893
51
220
39
988
956
1774
1187
271
1096
956
347
726
2
13
378
1679
1125
111
956
1179
956
17
107
967
4
147
1783
347
134
451
347
956
1127
1954
893
10
1682
396
286
390
1399
51
347
785
515
1268
493
347
818
347
347
347
937
9
8
347
597
196
956
1417
1245
347
912
1603
478
367
1977
956
347
1801
9
1401
317
956
205
1602
110
347
134
1026
842
347
49
347
753
5
242
166
1737
1026
347
169
347
116
51
322
1908
956
822
567
18
1958
242
68
1267
1879
1430
1362
840
431
347
478
805
956
347
1621
937
150
291
347
1417
1417
266
1026
195
347
1829
378
251
347
267
118
159
347
665
39
856
347
1362
1268
640
264
956
956
347
211
1728
965
18
322
502
13
188
956
524
1145
1559
215
1399
483
1260
1710
431
347
379
347
347
347
277
1744
251
322
347
29
1115
937
1119
1417
271
11
262
6
597
347
1555
3
302
218
18
71
373
177
1123
900
1099
706
345
1171
347
151
82
242
347
820
956
1741
519
290
1417
664
1125
347
347
1417
861
208
482
424
347
347
309
792
956
481
467
1339
121
1399
1217
317
347
134
347
271
280
1888
327
225
861
946
287
1046
760
718
264
569
88
779
121
6
961
1973
1825
160
540
11
371
481
169
1526
1645
956
225
956
491
1355
169
570
140
646
956
956
445
481
1417
956
1026
322
727
455
956
597
322
23
347
517
116
956
1534
956
1325
424
103
13
598
216
461
1398
174
347
1104
251
347
1035
920
1932
75
1565
136
956
169
261
347
1442
867
1057
1033
1380
225
1717
446
664
164
1918
76
945
886
956
980
462
81
1868
1910
343
1243
478
723
835
32
1399
127
1282
481
1400
9
347
814
167
956
242
116
184
1341
42
968
23
6
1365
68
999
347
564
630
664
10
144
51
956
347
946
767
956
492
347
956
102
1536
1113
1289
347
903
646
395
347
255
956
956
347
775
220
18
956
347
1399
718
1443
18
122
134
594
274
1990
242
621
163
68
1925
164
956
207
144
810
56
65
17
140
956
956
56
686
347
956
956
1505
1548
951
211
1270
1632
347
169
220
347
956
1920
63
339
85
347
775
4
821
956
594
956
181
365
102
533
140
1439
820
861
9
72
1399
512
1632
491
347
167
436
347
1920
243
889
306
180
956
956
6
1412
1664
17
1707
215
956
271
164
956
68
347
956
1439
1269
1550
290
339
220
220
481
347
103
478
593
956
345
1910
15
333
395
956
521
347
1980
278
956
194
1410
1118
347
630
798
377
956
768
333
1992
273
1995
59
104
231
956
1941
449
540
487
1672
174
1495
1400
1768
1180
1322
1177
95
347
218
1399
347
1850
953
347
956
898
1754
347
886
1888
423
347
1210
1667
1887
1627
956
1909
73
1448
167
347
1063
63
1087
396
347
1632
1177
540
51
97
1805
166
322
286
221
1007
1417
956
956
1105
992
892
446
1877
594
597
956
905
196
956
818
347
1632
220
68
347
1585
1920
1177
347
1625
276
147
1322
872
1398
379
76
1516
956
605
1325
1501
505
1632
18
15
956
1621
134
219
1661
1236
347
6
1744
1291
5
1827
1326
461
1177
1632
6
1662
592
946
280
872
515
1574
1651
1662
42
886
889
318
144
225
958
347
481
509
1149
241
1556
956
1591
183
699
184
956
256
23
345
42
358
528
82
22
1722
739
289
74
779
155
1
1871
6
842
347
452
744
31
1026
956
56
251
347
170
863
174
1920
115
322
1113
1672
144
951
302
1834
164
1555
1056
932
1498
79
956
68
719
1143
956
347
6
988
1107
347
1341
918
956
134
347
1302
39
966
1689
398
956
956
555
63
464
1474
1885
183
1468
973
528
956
208
17
1225
251
1217
1876
956
1632
39
486
1400
18
442
1362
25
1362
1836
1260
228
719
347
1572
322
461
649
29
1
167
518
876
218
266
1096
1347
609
49
1063
292
347
6
944
347
347
505
1399
154
347
1125
174
1417
1632
64
347
830
123
956
220
1
102
184
378
396
208
956
73
140
306
116
438
32
308
150
267
1400
1299
1405
347
218
347
347
579
664
1261
1472
1562
1400
18
347
6
860
1518
342
956
956
1973
1399
262
1938
347
889
347
956
116
6
1635
347
956
1596
999
1113
1279
1269
956
140
956
551
1918
597
347
1113
1010
625
569
6
1229
347
1596
221
105
347
15
251
1501
956
295
689
347
347
326
597
347
1871
347
579
1293
1793
347
649
458
1279
1355
1611
347
1058
956
1399
347
43
946
1909
956
1683
1528
321
899
228
1098
1315
570
165
352
224
9
1279
1823
1430
18
906
347
1279
1346
347
347
208
13
1495
631
104
889
256
956
347
956
1269
956
893
290
242
1766
1143
347
219
347
1985
491
347
251
1920
956
481
564
145
826
401
1417
956
538
85
1417
1400
871
1001
1026
51
1903
134
150
505
131
920
1177
322
76
33
1774
1836
481
1026
1738
347
956
691
1
1643
295
18
1615
686
441
1417
956
150
504
315
212
956
956
149
22
1697
105
117
9
76
956
1219
165
1745
956
1325
262
1335
956
26
1248
1216
49
956
1257
779
873
18
1417
937
1932
1632
1177
1871
1762
23
266
779
347
254
913
1306
39
646
1662
956
740
254
228
39
347
64
951
718
1520
221
51
1346
121
597
1417
1417
1306
347
956
333
410
8
1889
884
597
587
347
913
347
1683
1143
622
956
49
347
1104
102
486
677
760
506
1137
107
1096
1705
1335
1638
97
347
1541
481
561
597
1078
6
347
252
745
595
953
405
22
405
884
4
689
1246
347
1717
892
1648
347
1362
1412
347
956
486
117
481
1572
85
110
1177
228
1015
625
347
309
11
1399
8
1417
347
1018
132
63
635
1679
760
1769
956
920
1048
1373
13
1177
808
144
956
284
1942
134
1632
1645
956
347
347
1113
347
79
1643
1770
18
528
68
347
347
141
557
1393
1898
615
956
49
97
51
956
518
1096
811
597
1720
341
347
482
471
1231
8
1417
1303
1405
358
132
121
533
342
184
78
8
913
140
1298
6
347
506
370
863
956
347
1336
1417
49
958
1632
1632
1448
100
68
347
1288
347
1339
899
333
1417
709
811
1608
1082
1920
1400
8
347
390
347
1279
68
256
140
109
202
4
1248
1433
486
334
844
52
1011
779
1572
570
316
347
211
431
992
956
68
976
715
1362
6
33
627
225
587
1973
886
308
630
308
22
1792
239
1279
886
203
347
18
102
837
1559
878
665
406
13
1467
779
242
347
956
1008
861
956
1177
1972
1632
347
956
886
111
347
341
347
167
1022
365
1061
973
347
196
1248
779
347
1654
347
1667
1266
1118
1355
597
956
956
446
1331
3
1443
768
263
417
292
1222
347
232
74
347
245
912
134
8
1831
141
327
245
2
1787
284
597
3
588
1091
17
132
5
506
685
347
273
1405
1336
478
956
39
795
664
252
1632
1920
561
1683
390
392
18
956
347
323
1032
154
345
861
378
18
347
932
569
144
677
17
128
212
1192
1056
886
1020
1248
199
956
886
273
1527
956
913
358
662
347
347
347
1746
208
354
1400
1440
1026
956
1007
254
1041
1178
1335
251
347
254
347
446
767
555
1398
1029
587
347
2
49
72
1177
956
1826
691
322
1399
273
1632
1417
347
219
347
26
775
168
23
358
1096
1654
956
347
944
1941
127
1617
1662
377
638
852
956
105
1632
1362
219
1405
3
1741
51
478
1992
1417
23
18
893
956
1400
1632
1225
618
1400
1632
956
347
1720
82
1033
718
438
347
1126
251
956
482
753
818
1872
483
634
1417
1036
278
1744
863
1024
1260
347
347
347
347
322
205
1399
945
1407
1878
588
26
639
870
1245
956
1920
347
956
920
560
702
965
174
121
115
308
595
884
241
400
181
1720
39
893
33
1400
56
1018
225
1087
277
49
1018
1920
456
347
1336
63
478
168
327
617
347
844
1399
956
242
956
1734
956
1915
398
73
347
254
519
1491
207
1202
1004
3
956
528
134
481
5
347
956
561
31
965
165
347
1501
833
116
1066
956
956
878
1662
441
347
1307
1177
1026
130
347
167
1548
886
1355
1399
775
956
140
1298
677
600
915
1252
1829
111
461
481
837
68
1576
8
1495
967
906
691
431
225
212
1113
42
174
1399
322
266
9
533
132
1474
347
441
68
686
956
1915
51
1632
347
347
236
1399
163
1956
256
1501
691
956
956
630
1982
71
347
745
1903
184
482
270
205
699
1417
134
718
347
347
1698
876
1104
378
13
1705
956
1621
561
224
8
1808
481
1177
18
1325
956
976
1889
18
347
1495
347
449
1660
1129
684
9
1399
309
322
956
42
1511
208
634
15
1178
956
144
256
518
986
347
315
872
347
506
11
264
1982
840
294
1514
1219
1523
686
1399
956
1878
757
1762
347
627
150
347
8
266
992
462
221
505
1705
912
719
555
347
689
1143
63
1744
2
1864
1306
481
946
212
1011
1769
956
1920
183
123
977
1454
56
73
709
1417
284
261
1217
760
1386
1302
166
956
134
1954
25
474
483
347
347
262
82
28
1083
1477
1632
1627
219
208
478
42
1827
799
33
1762
56
49
14
134
347
347
1501
218
76
1000
1942
768
15
134
1417
1621
253
461
26
723
347
17
884
1177
1122
1744
1303
6
1299
1940
51
1572
1561
1378
1251
1400
169
2
686
1585
309
253
122
1868
527
1015
68
22
1047
1986
155
956
358
956
347
1399
938
956
151
347
273
524
545
5
294
1267
347
347
1663
1404
184
956
23
353
1506
128
52
1740
18
956
347
127
85
76
606
111
1475
912
32
630
292
1752
289
8
1657
1632
1477
165
219
714
258
1682
1565
956
956
130
51
597
1569
132
353
168
380
9
220
6
318
9
208
169
1662
11
130
267
208
956
956
461
150
1417
1400
347
1109
49
208
1335
345
345
1654
479
1279
260
347
218
893
1119
82
621
11
68
576
1570
956
251
1460
956
1806
347
117
1632
945
347
493
956
219
8
1766
347
1550
181
95
102
1325
195
132
1985
347
714
1242
1392
28
956
116
1434
8
347
1465
1417
1591
1721
946
826
524
956
1135
196
1958
505
956
795
1132
177
117
438
1624
251
73
322
1903
1113
1315
591
15
116
830
924
1316
322
347
1985
347
228
956
1170
1400
486
1048
102
140
753
1920
812
347
452
1083
456
123
1440
956
6
111
1049
1307
560
1117
347
5
1466
347
1834
1731
956
314
116
347
923
1789
345
56
42
168
73
11
1871
1325
524
956
1547
397
506
1417
956
72
1417
449
461
432
73
956
371
1770
79
39
155
51
379
68
1568
347
1910
256
1892
956
103
347
8
711
202
396
872
215
410
347
347
347
956
352
1219
1210
893
405
76
347
987
1400
1400
970
103
219
1636
744
264
347
347
808
82
29
1029
347
844
1341
347
745
956
322
956
183
1126
1322
262
6
1667
1628
515
1123
1307
1339
1779
1399
956
228
1752
29
597
1413
1196
944
51
111
505
262
347
322
1536
597
18
327
347
1404
1196
1404
490
148
28
665
347
614
505
347
1731
431
347
1009
1793
1617
956
347
256
1417
956
1406
169
1454
1609
100
1940
1034
430
347
592
347
450
365
1478
1775
1104
17
1916
914
1058
1592
1417
1248
1770
322
757
1316
398
1001
122
686
1400
9
266
519
1661
1279
406
1399
102
59
81
347
347
1307
482
347
775
552
1417
1273
39
347
597
406
183
1621
18
431
128
22
150
17
167
1400
956
450
140
49
699
1632
1775
1355
903
1012
1279
1022
1596
426
605
740
1452
18
347
1632
685
531
168
1121
309
1707
908
1339
347
221
1658
1788
322
519
545
1722
319
677
597
1011
42
88
23
699
1135
251
886
1547
880
347
1298
884
887
299
1628
956
347
1434
196
1113
8
1406
956
944
1417
1416
822
913
1399
208
956
188
1104
1031
18
266
505
487
1586
369
1992
597
212
1168
702
1752
267
49
1400
809
68
837
1694
39
174
42
1325
745
219
768
266
664
1572
1624
29
956
1694
1627
1520
5
1402
220
6
923
121
154
347
956
1121
956
1010
1555
1048
1535
1366
1281
167
8
347
588
886
689
1523
1793
251
205
11
1591
347
622
860
154
284
188
841
760
1260
1217
122
779
42
167
347
1717
347
1399
49
127
245
22
956
466
265
11
212
956
221
1351
956
1631
1135
1770
1047
1525
913
86
255
1270
461
1632
980
174
266
188
1129
924
174
166
121
1932
821
1026
896
199
481
956
42
228
347
1405
220
1632
32
861
347
1717
347
82
82
347
1498
207
1326
242
1642
347
956
29
1621
886
505
8
431
1792
1932
15
97
677
1035
228
347
116
1341
748
4
347
686
1063
322
18
51
749
1216
68
42
1242
481
686
97
1280
1362
116
1585
1766
134
347
212
134
1177
1270
347
115
347
8
1585
347
347
481
1611
1689
956
1335
812
482
147
202
1026
956
775
384
956
1632
1483
347
912
860
1326
347
347
333
753
1400
42
956
956
1494
347
347
49
1417
347
1769
570
1587
956
719
79
956
17
841
1519
665
9
1731
49
1836
347
276
61
364
1925
665
18
97
347
481
347
563
68
481
1172
889
1045
347
956
841
1965
1621
1596
1441
1465
1012
130
1491
506
220
1920
116
1752
345
627
1505
956
1511
43
1787
1196
956
727
727
1840
750
262
273
347
1526
1348
1229
980
43
481
1417
150
1248
1218
956
956
622
347
63
486
166
1972
1505
148
956
1044
12
127
347
136
181
322
1936
440
347
699
70
1497
956
6
956
956
1976
273
1417
956
1474
1658
127
1399
555
1494
844
111
347
263
90
1172
1826
1752
1576
999
144
347
1826
1768
347
319
1375
1185
347
956
844
515
898
121
105
1237
956
347
956
1372
1835
1596
1025
347
347
745
141
587
347
1063
1529
1196
567
322
1650
461
347
1827
299
956
1417
509
1066
347
140
886
39
347
1975
1535
1932
202
347
373
594
1940
347
123
397
1417
323
1632
913
750
956
512
524
505
1835
1365
17
248
1098
956
956
1036
117
347
956
1639
322
220
1821
267
347
956
1632
505
167
347
1914
956
8
347
358
23
294
15
73
1769
1405
956
347
691
395
8
1478
1720
956
73
347
1273
76
1177
1992
1280
347
1279
23
1495
347
956
15
303
347
1752
1632
569
956
956
347
347
726
371
51
347
1291
1510
264
347
1291
601
810
104
1317
11
870
956
956
105
821
446
1261
347
291
1751
177
254
528
90
1417
818
1326
1151
1632
347
956
347
1217
347
1465
132
207
174
88
519
431
347
1965
932
1443
995
768
1096
1278
22
1592
376
224
545
1012
276
1177
1744
1405
1399
540
1956
88
521
1399
621
1262
345
161
871
1329
899
1581
1399
1400
1460
264
483
740
175
956
956
518
956
438
266
255
814
308
1840
256
103
25
333
159
29
956
73
396
576
1596
625
347
347
685
1472
347
127
347
347
481
347
491
956
677
347
1793
317
1417
984
1417
597
221
539
